"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"其他","2019",1,1,1,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",60,"不明",120.301278,22.814121,"高雄市","岡山區"
"其他","2019",1,1,1,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",52,"未使用",120.301278,22.814121,"高雄市","岡山區"
"其他","2019",1,1,1,"雨","夜間(或隧道、地下道、涵洞)有照明",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",25,"不明",121.560562,25.182451,"臺北市","北投區"
"路上翻車、摔倒","2019",1,1,9,"陰","日間自然光線",60,"彎曲路及附近","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",42,"未使用",120.955595,24.614313,"苗栗縣","三灣鄉"
"衝出路外","2019",1,1,16,"雨","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",27,"不明",121.557064,24.63992,"宜蘭縣","大同鄉"
"衝出路外","2019",1,1,16,"雨","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",29,"非汽(機)車駕駛人",121.557064,24.63992,"宜蘭縣","大同鄉"
"其他","2019",1,1,22,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","路肩、路緣","柏油","濕潤","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",38,"未使用",120.800091,24.199221,"臺中市","新社區"
"路口交岔撞","2019",1,2,1,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",31,"不明",121.248605,24.944058,"桃園市","中壢區"
"路口交岔撞","2019",1,2,1,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",29,"非汽(機)車駕駛人",121.248605,24.944058,"桃園市","中壢區"
"路口交岔撞","2019",1,2,1,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",23,"未使用",121.248605,24.944058,"桃園市","中壢區"
"路口交岔撞","2019",1,2,1,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",30,"非汽(機)車駕駛人",121.248605,24.944058,"桃園市","中壢區"
"路口交岔撞","2019",1,2,3,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","濕潤","良好","正常","中央分向島","寛式快慢車道分隔島(50公分以上)","無",49,"未使用",121.548796,25.033328,"臺北市","大安區"
"路口交岔撞","2019",1,2,3,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉路口內","柏油","濕潤","良好","正常","中央分向島","寛式快慢車道分隔島(50公分以上)","無",33,"未使用",121.548796,25.033328,"臺北市","大安區"
"側撞","2019",1,2,8,"晴","日間自然光線",70,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",66,"未使用",120.404899,22.642779,"高雄市","大寮區"
"側撞","2019",1,2,8,"晴","日間自然光線",70,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",25,"未使用",120.404899,22.642779,"高雄市","大寮區"
"路上翻車、摔倒","2019",1,2,11,"晴","日間自然光線",50,"彎曲路及附近","直線匝道","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",63,"未使用",120.24258,23.11736,"臺南市","安定區"
"穿越道路中","2019",1,2,18,"雨","夜間(或隧道、地下道、涵洞)無照明",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","無","未繪設快慢車道分隔線","有",62,"未使用",121.547207,24.896801,"新北市","新店區"
"穿越道路中","2019",1,2,18,"雨","夜間(或隧道、地下道、涵洞)無照明",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","無","未繪設快慢車道分隔線","有",83,"非汽(機)車駕駛人",121.547207,24.896801,"新北市","新店區"
"撞護欄(樁)","2019",1,2,20,"晴","夜間(或隧道、地下道、涵洞)有照明",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",40,"未使用",120.295649,23.640509,"雲林縣","元長鄉"
"衝出路外","2019",1,3,3,"雨","夜間(或隧道、地下道、涵洞)有照明",40,"直路","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","無","未繪設快慢車道分隔線","有",59,"不明",120.514651,23.660047,"雲林縣","斗南鎮"
"穿越道路中","2019",1,3,5,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉口附近","柏油","濕潤","良好","正常","無","未繪設快慢車道分隔線","無",21,"不明",121.712519,25.097169,"基隆市","七堵區"
"穿越道路中","2019",1,3,5,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉口附近","柏油","濕潤","良好","正常","無","未繪設快慢車道分隔線","無",23,"不明",121.712519,25.097169,"基隆市","七堵區"
"穿越道路中","2019",1,3,5,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉口附近","柏油","濕潤","良好","正常","無","未繪設快慢車道分隔線","無",49,"不明",121.712519,25.097169,"基隆市","七堵區"
"穿越道路中","2019",1,3,5,"雨","夜間(或隧道、地下道、涵洞)有照明",50,"四岔路","交叉口附近","柏油","濕潤","良好","正常","無","未繪設快慢車道分隔線","無",82,"非汽(機)車駕駛人",121.712519,25.097169,"基隆市","七堵區"
"穿越道路中","2019",1,3,6,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",34,"未使用",120.290971,23.034979,"臺南市","新化區"
"穿越道路中","2019",1,3,6,"晴","夜間(或隧道、地下道、涵洞)有照明",60,"直路","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",82,"非汽(機)車駕駛人",120.290971,23.034979,"臺南市","新化區"
"穿越道路中","2019",1,3,7,"雨","日間自然光線",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","中央分向島","未繪設快慢車道分隔線","無",21,"未使用",121.704939,25.141623,"基隆市","安樂區"
"穿越道路中","2019",1,3,7,"雨","日間自然光線",50,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","濕潤","良好","無號誌","中央分向島","未繪設快慢車道分隔線","無",78,"非汽(機)車駕駛人",121.704939,25.141623,"基隆市","安樂區"
"撞路樹、電桿","2019",1,3,16,"晴","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",108,"",120.436587,22.720617,"高雄市","大樹區"
"撞路樹、電桿","2019",1,3,16,"晴","日間自然光線",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",59,"未使用",120.436587,22.720617,"高雄市","大樹區"
"穿越道路中","2019",1,3,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",42,"未使用",120.928382,24.683937,"苗栗縣","頭份市"
"穿越道路中","2019",1,3,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","雙向禁止超車線","未繪設快慢車道分隔線","有",63,"非汽(機)車駕駛人",120.928382,24.683937,"苗栗縣","頭份市"
"穿越道路中","2019",1,4,5,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",28,"未使用",121.252581,24.939473,"桃園市","中壢區"
"穿越道路中","2019",1,4,5,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",86,"非汽(機)車駕駛人",121.252581,24.939473,"桃園市","中壢區"
"穿越道路中","2019",1,4,6,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",27,"不明",120.807731,24.571506,"苗栗縣","苗栗市"
"穿越道路中","2019",1,4,6,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","有",65,"非汽(機)車駕駛人",120.807731,24.571506,"苗栗縣","苗栗市"
"對撞","2019",1,4,7,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",41,"未使用",121.200483,24.866642,"桃園市","龍潭區"
"對撞","2019",1,4,7,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",33,"未使用",121.200483,24.866642,"桃園市","龍潭區"
"對撞","2019",1,4,7,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",29,"未使用",121.200483,24.866642,"桃園市","龍潭區"
"側撞","2019",1,4,9,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",35,"未使用",121.74356,24.670718,"宜蘭縣","冬山鄉"
"側撞","2019",1,4,9,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","有",64,"未使用",121.74356,24.670718,"宜蘭縣","冬山鄉"
"撞路樹、電桿","2019",1,4,12,"晴","日間自然光線",50,"直路","路肩、路緣","其他鋪裝","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",27,"未使用",120.456418,23.744646,"雲林縣","西螺鎮"
"路口交岔撞","2019",1,4,13,"晴","日間自然光線",40,"四岔路","交叉路口內","柏油","乾燥","不良","無號誌","無","未繪設快慢車道分隔線","有",53,"不明",120.511796,22.610478,"屏東縣","竹田鄉"
