"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"路上翻車、摔倒","2020",1,1,14,"晴","日間自然光線",50,"直路","機車專用道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",109,"",120.372052,22.541141,"高雄市","小港區"
"路上翻車、摔倒","2020",1,1,14,"晴","日間自然光線",50,"直路","機車專用道","柏油","乾燥","良好","無號誌","中央分向島","寛式快慢車道分隔島(50公分以上)","有",22,"未使用",120.372052,22.541141,"高雄市","小港區"
"側撞","2020",1,1,17,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","無",61,"未使用",121.504547,24.95763,"新北市","新店區"
"側撞","2020",1,1,17,"陰","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉路口內","柏油","乾燥","良好","正常","中央分向島","未繪設快慢車道分隔線","無",37,"未使用",121.504547,24.95763,"新北市","新店區"
"其他","2020",1,1,21,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",21,"未使用",120.695863,24.216056,"臺中市","潭子區"
"其他","2020",1,1,21,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"三岔路","交叉口附近","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",28,"未使用",120.695863,24.216056,"臺中市","潭子區"
"追撞","2020",1,2,5,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",71,"非汽(機)車駕駛人",120.508579,24.140725,"彰化縣","和美鎮"
"追撞","2020",1,2,5,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",61,"未使用",120.508579,24.140725,"彰化縣","和美鎮"
"撞路樹、電桿","2020",1,2,8,"晴","日間自然光線",60,"坡路","路肩、路緣","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",70,"不明",120.55904,23.565369,"嘉義縣","梅山鄉"
"其他","2020",1,2,9,"晴","日間自然光線",50,"直路","慢車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",71,"非汽(機)車駕駛人",120.541703,23.710441,"雲林縣","斗六市"
